timestamp,kw_energy_consumption,prediction,anomaly_score,anomaly_likelihood
2010-07-02 00:00:00,21.2,21.2,1.0,0.5
2010-07-02 01:00:00,16.4,16.4,1.0,0.5
2010-07-02 02:00:00,4.7,4.7,1.0,0.5
2010-07-02 03:00:00,4.7,4.7,1.0,0.5
2010-07-02 04:00:00,4.6,4.7,1.0,0.5
2010-07-02 05:00:00,23.5,23.5,1.0,0.5
2010-07-02 06:00:00,47.5,47.5,1.0,0.5
2010-07-02 07:00:00,45.4,45.4,1.0,0.5
2010-07-02 08:00:00,46.1,45.4,1.0,0.5
2010-07-02 09:00:00,41.5,41.5,1.0,0.5
2010-07-02 10:00:00,43.4,41.5,1.0,0.5
2010-07-02 11:00:00,43.8,43.4,1.0,0.5
2010-07-02 12:00:00,37.8,37.8,1.0,0.5
2010-07-02 13:00:00,36.6,36.6,1.0,0.5
2010-07-02 14:00:00,35.7,36.6,1.0,0.5
2010-07-02 15:00:00,38.9,36.6,1.0,0.5
2010-07-02 16:00:00,36.2,38.9,1.0,0.5
2010-07-02 17:00:00,36.6,38.9,0.975,0.5
2010-07-02 18:00:00,37.2,36.6,0.85,0.5
2010-07-02 19:00:00,38.2,36.2,0.975,0.5
2010-07-02 20:00:00,14.1,14.1,1.0,0.5
2010-07-02 21:00:00,5.1,23.5,1.0,0.5
2010-07-02 22:00:00,5.0,23.5,0.025,0.5
2010-07-02 23:00:00,5.9,5.07,0.15,0.5
2010-07-03 00:00:00,22.5,47.5,0.55,0.5
2010-07-03 01:00:00,22.3,47.5,1.0,0.5
2010-07-03 02:00:00,6.0,22.5,1.0,0.5
2010-07-03 03:00:00,4.7,5.9,0.0,0.5
2010-07-03 04:00:00,4.4,4.7,0.0,0.5
2010-07-03 05:00:00,4.8,4.7,0.0,0.5
2010-07-03 06:00:00,23.4,47.5,0.0,0.5
2010-07-03 07:00:00,42.4,43.4,1.0,0.5
2010-07-03 08:00:00,52.0,52.0,1.0,0.5
2010-07-03 09:00:00,50.8,50.8,1.0,0.5
2010-07-03 10:00:00,45.3,46.1,1.0,0.5
2010-07-03 11:00:00,43.6,37.8,0.925,0.5
2010-07-03 12:00:00,40.7,43.4,1.0,0.5
2010-07-03 13:00:00,38.4,14.1,1.0,0.5
2010-07-03 14:00:00,39.9,38.4,0.975,0.5
2010-07-03 15:00:00,42.8,40.7,1.0,0.5
2010-07-03 16:00:00,42.2,52.0,0.35,0.5
2010-07-03 17:00:00,28.6,28.6,1.0,0.5
2010-07-03 18:00:00,11.6,11.6,1.0,0.5
2010-07-03 19:00:00,5.3,4.73,1.0,0.5
2010-07-03 20:00:00,5.4,4.73,0.025,0.5
2010-07-03 21:00:00,5.4,5.4,0.025,0.5
2010-07-03 22:00:00,5.4,5.4,0.0,0.5
2010-07-03 23:00:00,13.7,5.07,1.0,0.5
2010-07-04 00:00:00,22.2,6.0,1.0,0.5
2010-07-04 01:00:00,13.5,22.2,1.0,0.5
2010-07-04 02:00:00,5.0,5.4,0.125,0.5
2010-07-04 03:00:00,4.9,4.9,1.0,0.5
2010-07-04 04:00:00,4.9,4.9,1.0,0.5
2010-07-04 05:00:00,5.0,5.0,1.0,0.5
2010-07-04 06:00:00,5.2,5.2,1.0,0.5
2010-07-04 07:00:00,5.6,5.6,1.0,0.5
2010-07-04 08:00:00,42.9,42.9,1.0,0.5
2010-07-04 09:00:00,50.3,50.3,1.0,0.5
2010-07-04 10:00:00,43.5,43.5,1.0,0.5
2010-07-04 11:00:00,37.1,37.1,1.0,0.5
2010-07-04 12:00:00,38.7,38.7,1.0,0.5
2010-07-04 13:00:00,37.1,37.1,1.0,0.5
2010-07-04 14:00:00,40.0,40.0,1.0,0.5
2010-07-04 15:00:00,44.1,44.1,1.0,0.5
2010-07-04 16:00:00,39.3,39.3,1.0,0.5
2010-07-04 17:00:00,26.1,26.1,1.0,0.5
2010-07-04 18:00:00,9.9,9.9,1.0,0.5
2010-07-04 19:00:00,5.4,5.4,1.0,0.5
2010-07-04 20:00:00,5.5,5.4,1.0,0.5
2010-07-04 21:00:00,5.3,5.43,1.0,0.5
2010-07-04 22:00:00,5.3,5.43,1.0,0.5
2010-07-04 23:00:00,17.8,17.8,1.0,0.5
2010-07-05 00:00:00,22.4,22.4,1.0,0.5
2010-07-05 01:00:00,7.8,7.8,1.0,0.5
2010-07-05 02:00:00,4.7,4.7,1.0,0.5
2010-07-05 03:00:00,4.7,5.0343,1.0,0.5
2010-07-05 04:00:00,4.7,4.757183,1.0,0.5
2010-07-05 05:00:00,22.9,22.9,1.0,0.5
2010-07-05 06:00:00,46.5,46.5,1.0,0.5
