jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|sine:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=sine,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=sine, 
1008,  2006,  completed,  eof,  2014-07-13 08:10:42,  2014-07-13 08:11:07,  25,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  1000,  0.05005,  11,  14,  3,  272,  0.05015,  0.0541880604014,  8.50612737073, 
1008,  2037,  completed,  eof,  2014-07-13 08:10:42,  2014-07-13 08:11:01,  19,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  1000,  0.0001,  9,  12,  1,  22,  0.1,  0.158829773015,  24.9321763784, 
1008,  2058,  completed,  eof,  2014-07-13 08:10:42,  2014-07-13 08:11:12,  30,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|sine:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1000,  0.1,  12,  16,  5,  521,  0.0003,  0.0585218986238,  9.18642815379, 
1008,  2069,  completed,  eof,  2014-07-13 08:10:43,  2014-07-13 08:11:07,  24,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  1000,  0.025075,  10,  13,  2,  147,  0.075075,  0.0537271440078,  8.43377538909, 
1008,  2070,  completed,  eof,  2014-07-13 08:11:01,  2014-07-13 08:11:31,  30,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  1000,  0.075025,  11,  15,  4,  396,  0.025225,  0.0537804954813,  8.44215019391, 
1008,  2071,  completed,  eof,  2014-07-13 08:11:07,  2014-07-13 08:11:35,  28,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  1000,  0.055045,  11,  14,  3,  296,  0.055135,  0.0542437942227,  8.51487614268, 
1008,  2082,  completed,  eof,  2014-07-13 08:11:07,  2014-07-13 08:11:36,  29,  modelParams|clParams|alpha_0.0153348574447.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_99.modelParams|spParams|synPermInactiveDec_0.0800066077776,  1000,  0.0153348574447,  10,  13,  2,  99,  0.0800066077776,  0.0672006086274,  10.548761704, 
1008,  2083,  completed,  eof,  2014-07-13 08:11:12,  2014-07-13 08:11:40,  28,  modelParams|clParams|alpha_0.034315427666.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_242.modelParams|spParams|synPermInactiveDec_0.0802201766672,  1000,  0.034315427666,  10,  13,  2,  242,  0.0802201766672,  0.0513025519653,  8.05317699558, 
1008,  2084,  completed,  eof,  2014-07-13 08:11:31,  2014-07-13 08:12:00,  29,  modelParams|clParams|alpha_0.02008.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_122.modelParams|spParams|synPermInactiveDec_0.07009,  1000,  0.02008,  10,  13,  2,  122,  0.07009,  0.0558995721724,  8.77479055987, 
1008,  2085,  completed,  eof,  2014-07-13 08:11:36,  2014-07-13 08:12:06,  30,  modelParams|clParams|alpha_0.0295702851107.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_219.modelParams|spParams|synPermInactiveDec_0.0801667844448,  1000,  0.0295702851107,  9,  13,  2,  219,  0.0801667844448,  0.0521936963152,  8.193063666, 
